DataSize,Comparisons,Time
9000,229742,1
9000,229716,1
9000,229276,1
9000,229430,1
9000,229426,1
9000,229554,1
9000,229412,1
9000,229612,1
9000,229732,1
9000,229654,0
9000,229624,1
9000,229776,1
10000,258276,1
10000,258306,1
10000,258348,1
10000,258326,1
10000,258400,1
10000,258586,0
10000,258526,1
10000,258364,1
10000,258348,1
10000,258650,1
10000,258336,1
10000,258460,1
10000,258208,1
10000,258194,1
10000,258494,1
10000,258260,1
10000,258218,1
10000,258432,1
10000,258282,1
10000,258438,1
10000,258564,1
10000,258704,1
10000,258576,1
10000,258102,1
10000,258282,0
10000,258278,1
10000,258436,1
10000,258312,1
10000,258494,1
10000,258204,1
10000,258114,1
10000,258386,1
10000,258024,1
10000,258402,0
10000,258596,1
10000,258374,1
10000,258396,0
10000,258220,1
10000,258692,1
10000,258504,1
11000,287564,1
11000,287328,1
11000,287318,1
11000,287474,1
11000,287680,2
11000,287300,1
11000,287718,1
11000,287214,1
11000,287550,2
11000,287304,1
11000,287412,1
11000,287638,1
11000,287250,2
11000,287360,1
11000,287310,1
11000,287356,1
11000,287526,1
11000,287084,2
11000,287370,2
11000,287646,1
11000,287226,1
11000,287388,1
11000,287490,2
11000,287662,1
11000,287562,1
11000,287534,1
11000,287182,1
11000,287362,1
11000,287350,1
11000,287582,1
11000,287516,1
11000,287398,1
11000,287670,1
11000,287396,1
11000,287164,1
11000,287316,1
11000,287508,1
11000,287324,1
11000,287402,1
11000,287498,1
12000,316638,1
12000,316422,1
12000,316412,2
12000,316706,1
12000,316556,1
12000,316744,2
12000,316392,1
12000,316402,1
12000,316486,1
12000,316366,1
12000,316654,1
12000,316572,1
12000,316500,1
12000,316874,2
12000,316578,1
12000,316742,1
12000,316632,1
12000,316496,1
12000,316666,2
12000,316492,1
12000,316678,1
12000,317006,2
12000,316676,1
12000,316458,1
12000,316772,1
12000,316754,1
12000,316744,1
12000,316412,1
12000,316382,1
12000,316744,2
12000,316396,1
12000,316420,1
12000,316562,2
12000,316450,1
12000,316754,1
12000,316690,1
12000,316536,1
12000,316646,1
12000,316336,1
12000,316598,2
